word,lemma,freq
the,the,167120
and,and,106296
a,a,90840
to,to,82894
i,i,68552
you,you,57483
it,it,45683
he,he,41850
of,of,41270
in,in,37725
that,that,34551
was,be,33237
is,be,32161
she,she,25290
for,for,25279
said,say,24966
they,they,24429
on,on,22644
but,but,22094
his,his,21795
with,with,21137
we,we,21047
do,do,21046
my,my,18995
all,all,18921
what,what,17723
her,her,17622
so,so,17582
this,this,16851
are,be,16621
be,be,15309
at,at,15191
like,like,14969
have,have,14566
up,up,14188
not,not,14147
me,i,13838
one,one,13520
as,as,13308
can,can,13126
there,there,13032
out,out,12741
your,your,12229
when,when,11820
no,no,11446
just,just,11104
had,have,10897
then,then,10552
little,little,10233
did,do,9588
oh,oh,9293
see,see,9079
from,from,9043
could,could,8623
by,by,8617
if,if,8551
go,go,8510
were,be,8473
day,day,8357
will,will,8182
now,now,8112
them,they,8044
their,their,7919
him,he,7813
time,time,7760
about,about,7669
or,or,7532
know,know,7404
would,would,7400
get,get,7299
too,too,7240
big,big,6983
let,let,6899
who,who,6815
some,some,6810
how,how,6806
into,into,6722
back,back,6632
down,down,6423
right,right,6356
very,very,6244
here,here,6167
look,look,6159
good,good,6125
an,an,6062
more,more,5965
make,make,5544
our,our,5300
well,well,4876
where,where,4855
going,go,4823
got,get,4692
way,way,4667
over,over,4617
love,love,4610
want,want,4559
new,new,4553
even,even,4536
think,think,4530
help,help,4374
us,we,4334
come,come,4325
has,have,4301
book,book,4212
around,around,4169
night,night,4130
says,say,4073
friends,friend,4068
made,make,4031
away,away,3958
home,home,3954
something,something,3945
other,other,3918
find,find,3909
because,because,3871
went,go,3844
asked,ask,3840
off,off,3836
two,two,3778
things,thing,3769
say,say,3743
story,story,3730
bear,bear,3718
first,first,3679
thought,think,3677
really,really,3591
again,again,3542
looked,look,3532
people,people,3515
next,next,3506
through,through,3481
after,after,3460
why,why,3440
never,never,3436
read,read,3429
everyone,everyone,3363
mom,mom,3348
much,much,3345
take,take,3334
house,house,3324
fun,fun,3224
am,be,3206
came,come,3197
long,long,3187
ca,can,3172
yes,yes,3071
does,do,3061
eat,eat,3055
play,play,3053
need,need,3042
great,great,2997
before,before,2994
called,call,2974
school,school,2962
okay,okay,2923
still,still,2904
tree,tree,2818
only,only,2791
cat,cat,2790
happy,happy,2756
old,old,2749
put,put,2739
every,every,2733
best,good,2732
saw,see,2726
always,always,2721
dad,dad,2680
been,be,2659
water,water,2646
sure,sure,2631
today,today,2627
mother,mother,2613
three,three,2584
mr,mr,2583
friend,friend,2570
eyes,eye,2554
dog,dog,2518
give,give,2503
red,red,2501
found,find,2501
many,many,2500
together,together,2495
baby,baby,2495
than,than,2487
maybe,maybe,2441
tell,tell,2433
head,head,2418
thank,thank,2413
each,each,2409
feel,feel,2368
ever,ever,2352
these,these,2350
world,world,2323
bed,bed,2270
took,take,2268
should,should,2261
thing,thing,2260
while,while,2226
wait,wait,2217
door,door,2205
please,please,2202
those,those,2189
miss,miss,2189
soon,soon,2179
another,another,2171
end,end,2170
inside,inside,2141
ready,ready,2139
must,must,2121
last,last,2099
work,work,2089
told,tell,2083
small,small,2070
fish,fish,2069
green,green,2061
blue,blue,2028
knew,know,2018
family,family,2007
man,man,1992
yeah,yeah,1983
started,start,1975
heard,hear,1962
room,room,1961
morning,morning,1937
name,name,1933
cried,cry,1921
boy,boy,1915
until,until,1912
keep,keep,1896
also,also,1892
try,try,1890
hard,hard,1872
its,its,1854
stop,stop,1854
place,place,1843
better,well,1838
christmas,christmas,1833
snow,snow,1832
food,food,1829
kind,kind,1805
ran,run,1805
children,child,1790
favorite,favorite,1771
sun,sun,1751
might,might,1749
books,book,1744
pete,pete,1743
most,most,1735
mama,mama,1733
any,any,1714
which,which,1703
special,special,1697
left,leave,1696
looks,look,1695
bad,bad,1694
santa,santa,1690
wanted,want,1685
being,be,1679
animals,animal,1666
gave,give,1660
hope,hope,1645
show,show,1642
own,own,1628
under,under,1613
looking,look,1609
everything,everything,1599
felt,feel,1597
nice,nice,1593
white,white,1589
along,along,1587
sleep,sleep,1585
once,once,1572
began,begin,1556
sky,sky,1546
sometimes,sometimes,1539
year,year,1523
tried,try,1516
someone,someone,1512
beautiful,beautiful,1505
hey,hey,1500
hear,hear,1499
pig,pig,1497
life,life,1482
girl,girl,1478
air,air,1478
fast,fast,1478
mean,mean,1478
idea,idea,1477
magic,magic,1473
light,light,1470
lot,lot,1468
turned,turn,1465
father,father,1453
turn,turn,1451
run,run,1451
enough,enough,1448
monster,monster,1444
fly,fly,1444
stay,stay,1442
tiny,tiny,1439
dark,dark,1434
full,full,1434
king,king,1433
different,different,1431
kids,kid,1422
mouse,mouse,1420
bird,bird,1406
may,may,1401
ask,ask,1399
makes,make,1381
hello,hello,1379
high,high,1379
live,live,1378
sea,sea,1377
mrs,mrs,1376
face,face,1374
outside,outside,1369
party,party,1366
finally,finally,1354
reading,read,1349
far,far,1346
cool,cool,1344
heart,heart,1340
trees,tree,1331
rabbit,rabbit,1331
top,top,1322
nothing,nothing,1313
lots,lot,1307
anything,anything,1304
moon,moon,1277
suddenly,suddenly,1275
days,day,1273
henry,henry,1267
words,word,1265
wo,will,1259
done,do,1252
hair,hair,1251
hot,hot,1248
thanks,thank,1245
arthur,arthur,1241
behind,behind,1237
getting,get,1229
without,without,1223
remember,remember,1222
use,use,1215
perfect,perfect,1214
sound,sound,1213
cold,cold,1208
whole,whole,1207
eggs,egg,1203
open,open,1198
set,set,1188
