word,lemma,freq
the,the,23309
and,and,15732
a,a,14300
to,to,13167
i,i,8674
you,you,8484
of,of,7510
in,in,6947
is,be,6834
it,it,6751
that,that,5604
for,for,4404
they,they,4345
are,be,4160
on,on,3470
we,we,3341
he,he,3336
can,can,3222
was,be,3162
with,with,2989
do,do,2967
this,this,2759
my,my,2707
but,but,2636
have,have,2595
like,like,2586
all,all,2451
she,she,2440
so,so,2391
your,your,2386
what,what,2340
be,be,2319
when,when,2109
one,one,2048
or,or,1966
at,at,1961
as,as,1935
up,up,1879
not,not,1848
her,her,1817
his,his,1816
their,their,1813
there,there,1741
from,from,1685
me,i,1681
see,see,1534
out,out,1496
about,about,1477
some,some,1437
by,by,1434
them,they,1401
if,if,1380
people,people,1380
just,just,1262
day,day,1261
our,our,1219
time,time,1184
no,no,1182
said,say,1173
more,more,1172
will,will,1147
an,an,1146
make,make,1144
had,have,1088
know,know,1064
little,little,1057
then,then,1056
how,how,1055
did,do,1054
go,go,1052
were,be,1018
let,let,985
big,big,985
now,now,982
get,get,979
too,too,953
here,here,950
who,who,930
could,could,929
would,would,919
has,have,911
new,new,904
look,look,884
help,help,880
other,other,862
into,into,851
oh,oh,826
good,good,825
many,many,813
where,where,804
even,even,794
very,very,793
its,its,791
eat,eat,785
right,right,780
down,down,769
things,thing,752
back,back,743
us,we,734
water,water,724
because,because,693
first,first,688
love,love,688
called,call,683
these,these,678
also,also,663
two,two,659
way,way,656
live,live,644
book,book,642
animals,animal,634
him,he,632
think,think,623
am,be,619
world,world,619
made,make,619
want,want,615
food,food,615
around,around,614
find,find,599
long,long,598
over,over,582
well,well,577
feel,feel,568
than,than,547
through,through,541
read,read,532
each,each,525
away,away,523
say,say,510
take,take,507
grow,grow,506
going,go,506
really,really,506
need,need,497
story,story,497
much,much,496
after,after,495
come,come,490
home,home,488
yes,yes,480
family,family,479
something,something,471
earth,earth,465
only,only,464
three,three,462
red,red,460
friends,friend,460
play,play,451
together,together,448
today,today,444
work,work,442
school,school,441
sea,sea,438
got,get,436
fun,fun,434
keep,keep,432
which,which,431
fish,fish,429
night,night,429
does,do,427
every,every,424
hard,hard,419
different,different,415
small,small,410
eyes,eye,406
green,green,404
most,most,404
give,give,403
life,life,401
white,white,401
great,great,400
blue,blue,398
use,use,397
sun,sun,397
kind,kind,394
ca,can,391
always,always,390
says,say,388
off,off,386
again,again,381
everyone,everyone,380
why,why,379
music,music,378
next,next,377
still,still,377
before,before,374
mom,mom,371
books,book,371
years,year,370
inside,inside,369
sometimes,sometimes,360
those,those,359
thank,thank,356
might,might,353
place,place,351
year,year,350
makes,make,348
end,end,345
best,good,340
words,word,340
air,air,335
never,never,334
own,own,331
okay,okay,327
body,body,324
another,another,323
put,put,323
learn,learn,322
four,four,320
mother,mother,320
black,black,319
moon,moon,317
may,may,316
been,be,315
sure,sure,315
thing,thing,312
tell,tell,312
means,mean,312
dog,dog,311
plants,plant,310
try,try,310
winter,winter,310
children,child,306
light,light,305
special,special,303
baby,baby,302
while,while,302
asked,ask,302
trees,tree,300
show,show,300
being,be,298
others,other,295
snow,snow,295
favorite,favorite,295
name,name,291
ready,ready,289
house,house,286
should,should,284
head,head,284
thought,think,281
happy,happy,280
tree,tree,278
fly,fly,278
lot,lot,274
went,go,273
yeah,yeah,273
bear,bear,270
teeth,tooth,269
days,day,269
lots,lot,268
old,old,267
high,high,267
until,until,267
bats,bat,266
sky,sky,264
dad,dad,263
better,well,262
part,part,260
important,important,260
found,find,256
stay,stay,256
remember,remember,254
warm,warm,254
came,come,253
friend,friend,253
five,five,253
tiny,tiny,252
land,land,252
must,must,251
feet,foot,250
color,color,250
someone,someone,250
looks,look,250
ever,ever,246
cold,cold,246
hope,hope,245
hands,hand,242
under,under,242
once,once,241
run,run,240
any,any,240
spot,spot,240
move,move,240
heart,heart,239
enough,enough,239
cats,cat,238
wanted,want,238
same,same,236
leaves,leave,236
cool,cool,236
ocean,ocean,233
helps,help,233
soon,soon,233
turn,turn,233
yellow,yellow,232
start,start,232
number,number,232
six,six,231
word,word,227
last,last,227
without,without,226
flowers,flower,224
money,money,223
man,man,223
kids,kid,223
hear,hear,222
eggs,egg,222
hot,hot,221
strong,strong,219
please,please,218
beautiful,beautiful,218
reading,read,218
ice,ice,216
cat,cat,216
maybe,maybe,216
shark,shark,215
wait,wait,214
deep,deep,214
ask,ask,213
animal,animal,213
told,tell,213
knew,know,213
god,god,210
fast,fast,210
stop,stop,208
few,few,208
father,father,208
kid,kid,205
comes,come,204
everything,everything,204
safe,safe,202
america,america,201
sleep,sleep,199
along,along,199
spring,spring,198
making,make,197
legs,leg,196
seven,seven,195
space,space,195
full,full,194
change,change,190
ground,ground,190
top,top,190
birds,bird,189
dark,dark,189
tail,tail,189
skin,skin,188
president,president,188
saw,see,187
sound,sound,186
open,open,185
took,take,184
started,start,183
far,far,183
rocks,rock,182
side,side,182
prey,prey,182
during,during,182
e,e,181
fox,fox,181
bat,bat,181
left,leave,180
hand,hand,179
living,live,178
true,true,177
seeds,seed,177
bees,bee,177
o,o,177
watch,watch,176
used,use,176
talk,talk,176
outside,outside,174
though,though,173
