word,lemma,freq
the,the,143811
and,and,90564
a,a,76540
to,to,69727
i,i,59878
you,you,48999
it,it,38932
he,he,38514
of,of,33760
in,in,30778
was,be,30075
that,that,28947
is,be,25327
said,say,23793
she,she,22850
for,for,20875
they,they,20084
his,his,19979
but,but,19458
on,on,19174
with,with,18148
do,do,18079
we,we,17706
all,all,16470
my,my,16288
her,her,15805
what,what,15383
so,so,15191
this,this,14092
at,at,13230
be,be,12990
are,be,12461
like,like,12383
up,up,12309
not,not,12299
me,i,12157
have,have,11971
one,one,11472
as,as,11373
there,there,11291
out,out,11245
no,no,10264
can,can,9904
your,your,9843
just,just,9842
had,have,9809
when,when,9711
then,then,9496
little,little,9176
did,do,8534
oh,oh,8467
could,could,7694
see,see,7545
go,go,7458
were,be,7455
from,from,7358
by,by,7183
him,he,7181
if,if,7171
now,now,7130
day,day,7096
will,will,7035
them,they,6643
time,time,6576
would,would,6481
know,know,6340
get,get,6320
too,too,6287
about,about,6192
their,their,6106
big,big,5998
let,let,5914
back,back,5889
who,who,5885
into,into,5871
how,how,5751
down,down,5654
right,right,5576
or,or,5566
very,very,5451
some,some,5373
good,good,5300
look,look,5275
here,here,5217
an,an,4916
more,more,4793
make,make,4400
going,go,4317
well,well,4299
got,get,4256
our,our,4081
where,where,4051
over,over,4035
way,way,4011
want,want,3944
love,love,3922
think,think,3907
come,come,3835
even,even,3742
night,night,3701
says,say,3685
new,new,3649
friends,friend,3608
us,we,3600
went,go,3571
book,book,3570
around,around,3555
asked,ask,3538
help,help,3494
something,something,3474
home,home,3466
off,off,3450
bear,bear,3448
away,away,3435
made,make,3412
thought,think,3396
has,have,3390
looked,look,3362
find,find,3310
say,say,3233
story,story,3233
because,because,3178
again,again,3161
next,next,3129
two,two,3119
never,never,3102
really,really,3085
why,why,3061
other,other,3056
house,house,3038
things,thing,3017
first,first,2991
everyone,everyone,2983
mom,mom,2977
after,after,2965
came,come,2944
through,through,2940
read,read,2897
much,much,2849
take,take,2827
fun,fun,2790
ca,can,2781
does,do,2634
before,before,2620
play,play,2602
great,great,2597
okay,okay,2596
yes,yes,2591
long,long,2589
am,be,2587
cat,cat,2574
need,need,2545
tree,tree,2540
saw,see,2539
still,still,2527
school,school,2521
old,old,2482
happy,happy,2476
mr,mr,2419
dad,dad,2417
put,put,2416
best,good,2392
been,be,2344
always,always,2331
only,only,2327
friend,friend,2317
sure,sure,2316
every,every,2309
mother,mother,2293
called,call,2291
eat,eat,2270
found,find,2245
maybe,maybe,2225
dog,dog,2207
baby,baby,2193
today,today,2183
eyes,eye,2148
people,people,2135
head,head,2134
three,three,2122
tell,tell,2121
bed,bed,2118
ever,ever,2106
give,give,2100
took,take,2084
door,door,2079
thank,thank,2057
together,together,2047
red,red,2041
miss,miss,2027
wait,wait,2003
please,please,1984
should,should,1977
thing,thing,1948
soon,soon,1946
than,than,1940
while,while,1924
water,water,1922
each,each,1884
last,last,1872
told,tell,1870
must,must,1870
cried,cry,1865
ready,ready,1850
another,another,1848
those,those,1830
end,end,1825
room,room,1824
heard,hear,1809
knew,know,1805
feel,feel,1800
started,start,1792
boy,boy,1785
morning,morning,1781
inside,inside,1772
man,man,1769
christmas,christmas,1753
yeah,yeah,1710
ran,run,1705
world,world,1704
pete,pete,1697
many,many,1687
santa,santa,1677
these,these,1672
small,small,1660
green,green,1657
work,work,1647
stop,stop,1646
until,until,1645
name,name,1642
fish,fish,1640
blue,blue,1630
mama,mama,1625
try,try,1580
better,well,1576
snow,snow,1537
bad,bad,1529
family,family,1528
left,leave,1516
gave,give,1508
place,place,1492
children,child,1484
favorite,favorite,1476
any,any,1474
keep,keep,1464
hard,hard,1453
looking,look,1452
wanted,want,1447
looks,look,1445
nice,nice,1434
felt,feel,1431
pig,pig,1417
began,begin,1417
kind,kind,1411
hope,hope,1400
might,might,1396
everything,everything,1395
special,special,1394
tried,try,1393
along,along,1388
sleep,sleep,1386
