Word_Corpus_All_Picturebooks,Lemma,Freq_Raw,Word_Narrative_Picturebooks,Lemma,Freq_Raw,Word_Informational_Picturebooks,Lemma,Freq_Raw
the,the,167120,the,the,143811,the,the,23309
and,and,106296,and,and,90564,and,and,15732
a,a,90840,a,a,76540,a,a,14300
to,to,82894,to,to,69727,to,to,13167
i,i,68552,i,i,59878,i,i,8674
you,you,57483,you,you,48999,you,you,8484
it,it,45683,it,it,38932,of,of,7510
he,he,41850,he,he,38514,in,in,6947
of,of,41270,of,of,33760,is,be,6834
in,in,37725,in,in,30778,it,it,6751
that,that,34551,was,be,30075,that,that,5604
was,be,33237,that,that,28947,for,for,4404
is,be,32161,is,be,25327,they,they,4345
she,she,25290,said,say,23793,are,be,4160
for,for,25279,she,she,22850,on,on,3470
said,say,24966,for,for,20875,we,we,3341
they,they,24429,they,they,20084,he,he,3336
on,on,22644,his,his,19979,can,can,3222
but,but,22094,but,but,19458,was,be,3162
his,his,21795,on,on,19174,with,with,2989
with,with,21137,with,with,18148,do,do,2967
we,we,21047,do,do,18079,this,this,2759
do,do,21046,we,we,17706,my,my,2707
my,my,18995,all,all,16470,but,but,2636
all,all,18921,my,my,16288,have,have,2595
what,what,17723,her,her,15805,like,like,2586
her,her,17622,what,what,15383,all,all,2451
so,so,17582,so,so,15191,she,she,2440
this,this,16851,this,this,14092,so,so,2391
are,be,16621,at,at,13230,your,your,2386
be,be,15309,be,be,12990,what,what,2340
at,at,15191,are,be,12461,be,be,2319
like,like,14969,like,like,12383,when,when,2109
have,have,14566,up,up,12309,one,one,2048
up,up,14188,not,not,12299,or,or,1966
not,not,14147,me,i,12157,at,at,1961
me,i,13838,have,have,11971,as,as,1935
one,one,13520,one,one,11472,up,up,1879
as,as,13308,as,as,11373,not,not,1848
can,can,13126,there,there,11291,her,her,1817
there,there,13032,out,out,11245,his,his,1816
out,out,12741,no,no,10264,their,their,1813
your,your,12229,can,can,9904,there,there,1741
when,when,11820,your,your,9843,from,from,1685
no,no,11446,just,just,9842,me,i,1681
just,just,11104,had,have,9809,see,see,1534
had,have,10897,when,when,9711,out,out,1496
then,then,10552,then,then,9496,about,about,1477
little,little,10233,little,little,9176,some,some,1437
did,do,9588,did,do,8534,by,by,1434
oh,oh,9293,oh,oh,8467,them,they,1401
see,see,9079,could,could,7694,if,if,1380
from,from,9043,see,see,7545,people,people,1380
could,could,8623,go,go,7458,just,just,1262
by,by,8617,were,be,7455,day,day,1261
if,if,8551,from,from,7358,our,our,1219
go,go,8510,by,by,7183,time,time,1184
were,be,8473,him,he,7181,no,no,1182
day,day,8357,if,if,7171,said,say,1173
will,will,8182,now,now,7130,more,more,1172
now,now,8112,day,day,7096,will,will,1147
them,they,8044,will,will,7035,an,an,1146
their,their,7919,them,they,6643,make,make,1144
him,he,7813,time,time,6576,had,have,1088
time,time,7760,would,would,6481,know,know,1064
about,about,7669,know,know,6340,little,little,1057
or,or,7532,get,get,6320,then,then,1056
know,know,7404,too,too,6287,how,how,1055
would,would,7400,about,about,6192,did,do,1054
get,get,7299,their,their,6106,go,go,1052
too,too,7240,big,big,5998,were,be,1018
big,big,6983,let,let,5914,let,let,985
let,let,6899,back,back,5889,big,big,985
who,who,6815,who,who,5885,now,now,982
some,some,6810,into,into,5871,get,get,979
how,how,6806,how,how,5751,too,too,953
into,into,6722,down,down,5654,here,here,950
back,back,6632,right,right,5576,who,who,930
down,down,6423,or,or,5566,could,could,929
right,right,6356,very,very,5451,would,would,919
very,very,6244,some,some,5373,has,have,911
here,here,6167,good,good,5300,new,new,904
look,look,6159,look,look,5275,look,look,884
good,good,6125,here,here,5217,help,help,880
an,an,6062,an,an,4916,other,other,862
more,more,5965,more,more,4793,into,into,851
make,make,5544,make,make,4400,oh,oh,826
our,our,5300,going,go,4317,good,good,825
well,well,4876,well,well,4299,many,many,813
where,where,4855,got,get,4256,where,where,804
going,go,4823,our,our,4081,even,even,794
got,get,4692,where,where,4051,very,very,793
way,way,4667,over,over,4035,its,its,791
over,over,4617,way,way,4011,eat,eat,785
love,love,4610,want,want,3944,right,right,780
want,want,4559,love,love,3922,down,down,769
new,new,4553,think,think,3907,things,thing,752
even,even,4536,come,come,3835,back,back,743
think,think,4530,even,even,3742,us,we,734
help,help,4374,night,night,3701,water,water,724
us,we,4334,says,say,3685,because,because,693
come,come,4325,new,new,3649,first,first,688
has,have,4301,friends,friend,3608,love,love,688
book,book,4212,us,we,3600,called,call,683
around,around,4169,went,go,3571,these,these,678
night,night,4130,book,book,3570,also,also,663
says,say,4073,around,around,3555,two,two,659
friends,friend,4068,asked,ask,3538,way,way,656
made,make,4031,help,help,3494,live,live,644
away,away,3958,something,something,3474,book,book,642
home,home,3954,home,home,3466,animals,animal,634
something,something,3945,off,off,3450,him,he,632
other,other,3918,bear,bear,3448,think,think,623
find,find,3909,away,away,3435,am,be,619
because,because,3871,made,make,3412,world,world,619
went,go,3844,thought,think,3396,made,make,619
asked,ask,3840,has,have,3390,want,want,615
off,off,3836,looked,look,3362,food,food,615
two,two,3778,find,find,3310,around,around,614
things,thing,3769,say,say,3233,find,find,599
say,say,3743,story,story,3233,long,long,598
story,story,3730,because,because,3178,over,over,582
bear,bear,3718,again,again,3161,well,well,577
first,first,3679,next,next,3129,feel,feel,568
thought,think,3677,two,two,3119,than,than,547
really,really,3591,never,never,3102,through,through,541
again,again,3542,really,really,3085,read,read,532
looked,look,3532,why,why,3061,each,each,525
people,people,3515,other,other,3056,away,away,523
next,next,3506,house,house,3038,say,say,510
through,through,3481,things,thing,3017,take,take,507
after,after,3460,first,first,2991,grow,grow,506
why,why,3440,everyone,everyone,2983,going,go,506
never,never,3436,mom,mom,2977,really,really,506
read,read,3429,after,after,2965,need,need,497
everyone,everyone,3363,came,come,2944,story,story,497
mom,mom,3348,through,through,2940,much,much,496
much,much,3345,read,read,2897,after,after,495
take,take,3334,much,much,2849,come,come,490
house,house,3324,take,take,2827,home,home,488
fun,fun,3224,fun,fun,2790,yes,yes,480
